zipcode,current_value,forecasted_value,percent_change
94103,1100702.0,1012916.750111464,-7.98
94111,1466530.0,1372397.075741466,-6.42
94107,1304574.0,1221665.8890525398,-6.36
94109,1308934.0,1228338.3181411566,-6.16
94102,1185630.0,1117290.3375783393,-5.76
94133,1334650.0,1271717.1988134193,-4.72
94114,1541337.0,1481240.781153205,-3.9
94108,1502923.0,1445122.6222307566,-3.85
94124,891894.0,864476.5149328796,-3.07
94117,1395879.0,1374520.1840575158,-1.53
94115,1372370.0,1355926.9832563295,-1.2
94104,1695012.0,1691376.9831977242,-0.21
94131,1473693.0,1471990.1376515073,-0.12
94123,1689377.0,1690838.9891384516,0.09
94158,1513017.0,1517714.3389762451,0.31
94110,1398923.0,1404546.938563102,0.4
94132,1182842.0,1195825.9052814739,1.1
94112,1137737.0,1153424.3688808556,1.38
94118,1421186.0,1449156.3547921157,1.97
94127,1488832.0,1520766.8635138532,2.14
94105,1706714.0,1745648.1678975138,2.28
94122,1439525.0,1474903.8152615773,2.46
94134,956182.0,982391.5382379745,2.74
94116,1395930.0,1438780.9763854786,3.07
94121,1443658.0,1507367.4112220365,4.41
