zipcode,RMSE,last_value,RMSE_vs_value
94123,6271269701.625842,950376.0,659872.4822202836
94107,719336.6549711134,878670.0,81.86653180046132
94103,621916.1953992047,814072.0,76.39572364596802
94134,288965.5613970999,862181.0,33.5156494282639
94118,283698.4825518129,937447.0,30.26288233380798
94158,260517.37121994063,998991.0,26.078049874317248
94127,215959.30001706965,1414935.0,15.26284246393436
94105,189880.04111244724,889936.0,21.336370380841682
94110,181051.6895254017,1005398.0,18.007961973805568
94116,180557.04757376993,1276358.0,14.146269900276405
94117,164566.1948169747,883598.0,18.62455492395577
94132,140168.98389918488,769590.0,18.213462220037275
94115,123707.9664099627,906629.0,13.644827863432859
94112,112220.72708071055,997912.0,11.245553423619572
94109,105456.5822434164,830373.0,12.699905011773794
94114,96777.64927817322,1001836.0,9.66002911436335
94124,88948.41675233579,707290.0,12.575947171928881
94133,83657.53458804074,878883.0,9.518620179027327
94131,80521.46277789822,741362.0,10.86128811267616
94122,77413.73165786253,1195832.0,6.473629377526486
94121,63390.68198103919,918498.0,6.901559065021283
94102,58290.569693567624,735521.0,7.925072118072444
94108,41311.32064359453,789435.0,5.233023699683258
94104,29518.69882214382,887025.0,3.3278316645127046
94111,24863.631071642136,933245.0,2.6642126206561123
