zipcode,RMSE,last_value,RMSE_vs_value
94103,1095108.4018149832,1100702.0,99.49181538826886
94107,1040949.4811681365,1304574.0,79.79229090631398
94123,680030.5154019762,1689377.0,40.2533309854447
94132,368026.0419731796,1182842.0,31.113711042825635
94124,331346.8091183099,891894.0,37.150918059579936
94134,329131.8313577778,956182.0,34.42146279241586
94110,300088.5899076431,1398923.0,21.451401535870314
94118,232212.11417751186,1421186.0,16.339319003811735
94104,198349.6365183606,1695012.0,11.701960606671847
94127,196535.12660058847,1488832.0,13.200624825405988
94112,181563.30045504327,1137737.0,15.958283896457905
94131,173274.2097561442,1473693.0,11.757822677867386
94108,171275.10356735875,1502923.0,11.39613297336981
94114,136890.16171797836,1541337.0,8.881260990813713
94122,134859.8638502931,1439525.0,9.368358580107543
94111,127064.66602039168,1466530.0,8.6643073118444
94116,115676.2441324551,1395930.0,8.286679427511057
94117,104572.50900925738,1395879.0,7.49151674387661
94133,98148.91470529135,1334650.0,7.353906620109493
94105,94211.48168256201,1706714.0,5.520050909675669
94102,63103.432971068054,1185630.0,5.322354610719032
94158,57865.964956167256,1513017.0,3.8245416248573054
94121,48910.05036830618,1443658.0,3.3879250049739054
94109,37685.16210380798,1308934.0,2.879072749566287
94115,37332.096756979714,1372370.0,2.720264706819569
