zipcode,current_value,forecasted_value,percent_change
97562,878670.0,813238.622630583,-7.45
97558,814072.0,755609.6130652219,-7.18
97563,789435.0,740275.5991816728,-6.23
97560,889936.0,843907.3790572091,-5.17
97557,735521.0,698426.6573846029,-5.04
97566,933245.0,897912.6976604196,-3.79
97585,741362.0,715920.6822283079,-3.43
97587,878883.0,850109.3378564016,-3.27
97577,950376.0,922987.8397801269,-2.88
97575,918498.0,895909.2918570668,-2.46
97565,1005398.0,984858.70210345,-2.04
97569,906629.0,892465.797504298,-1.56
97581,1414935.0,1407750.9071440715,-0.51
97610,998991.0,994621.635990677,-0.44
97571,883598.0,880308.352104261,-0.37
97559,887025.0,886069.6917431711,-0.11
97564,830373.0,829725.9789610025,-0.08
97567,997912.0,999793.9997740868,0.19
97568,1001836.0,1005437.2595190748,0.36
97576,1195832.0,1212577.5176093867,1.4
97572,937447.0,953706.5683421952,1.73
97570,1276358.0,1317466.6872815015,3.22
97586,769590.0,800855.1705350059,4.06
97588,862181.0,913670.1291261648,5.97
97578,707290.0,753697.6686334258,6.56
